iter	RMSE
0	6.938675742
1	6.203632418
2	5.565271915
3	5.040158944
4	4.616354633
5	4.236759356
6	3.87251727
7	3.579075622
8	3.376462382
9	3.197477548
10	3.035439689
11	2.912095047
12	2.816538113
13	2.738431895
14	2.668193149
15	2.593184658
16	2.530743748
17	2.474021068
18	2.431478332
19	2.39326182
20	2.345322895
21	2.299786428
22	2.259261878
23	2.22554204
24	2.201455934
25	2.175829804
26	2.141875914
27	2.116979116
28	2.080077016
29	2.046984828
30	2.022774875
31	2.007151306
32	1.994027755
33	1.966659584
34	1.947570609
35	1.920757919
36	1.886467543
37	1.871180821
38	1.854395564
39	1.831129705
40	1.818206239
41	1.798380615
42	1.782908396
43	1.768745231
44	1.762645389
45	1.751996382
46	1.745239317
47	1.7205821
48	1.710337591
49	1.701144148
50	1.693007024
51	1.686880919
52	1.683935313
53	1.672992335
54	1.663459104
55	1.657613819
56	1.652057606
57	1.643368879
58	1.614836087
59	1.602705823
60	1.595213998
61	1.588363105
62	1.572426326
63	1.564929878
64	1.543150065
65	1.536117753
66	1.532290024
67	1.523123654
68	1.521521708
69	1.507459197
70	1.504007884
71	1.480471978
72	1.478644326
73	1.47030162
74	1.463533542
75	1.459947693
76	1.457996339
77	1.436526542
78	1.419139982
79	1.403977692
80	1.402028907
81	1.392532318
82	1.386543522
83	1.374770529
84	1.370181105
85	1.368145881
86	1.365323909
87	1.357228511
88	1.354305176
89	1.352251974
90	1.350382811
91	1.347332349
92	1.342621337
93	1.33921324
94	1.336369069
95	1.325688985
96	1.310744768
97	1.309966265
98	1.30086096
99	1.298627445
100	1.282484254
101	1.271489181
102	1.2627356
103	1.262030969
104	1.259550438
105	1.251579227
106	1.244405831
107	1.236759149
108	1.229149634
109	1.216173524
110	1.206257772
111	1.199161042
112	1.185458592
113	1.178745155
114	1.174931376
115	1.162423312
116	1.153277301
117	1.143717448
118	1.141081248
119	1.139611827
120	1.131760231
121	1.124623784
122	1.120036334
123	1.110563095
124	1.108428716
125	1.101787826
126	1.095928647
127	1.08733241
128	1.085845028
129	1.079488593
130	1.066908124
131	1.066535053
132	1.055169892
133	1.046238123
134	1.042661088
135	1.03560024
136	1.034375634
137	1.029776982
138	1.027874388
139	1.013158606
140	1.011810446
141	1.009204724
142	1.001145144
143	0.9871545006
144	0.9854408224
145	0.9841413944
146	0.9837714016
147	0.9745360733
148	0.9740180901
149	0.9732460045
