iter	Passed	Remaining
0	5	5161
1	9	4719
2	12	4084
3	15	3959
4	19	3916
5	24	4058
6	28	4008
7	30	3780
8	35	3934
9	41	4150
10	45	4050
11	48	3994
12	59	4513
13	62	4408
14	73	4830
15	93	5744
16	103	5962
17	106	5822
18	109	5651
19	113	5584
20	118	5531
21	126	5612
22	138	5876
23	144	5865
24	150	5882
25	155	5826
26	160	5796
27	165	5754
28	171	5738
29	178	5776
30	181	5682
31	188	5714
32	194	5711
33	198	5642
34	204	5638
35	208	5575
36	216	5640
37	221	5597
38	228	5620
39	234	5632
40	236	5539
41	248	5665
42	254	5664
43	257	5593
44	264	5617
45	268	5570
46	275	5588
47	278	5528
48	282	5475
49	287	5453
50	290	5411
51	294	5370
52	298	5325
53	300	5264
54	302	5205
55	305	5154
56	308	5101
57	312	5082
58	315	5025
59	317	4972
60	320	4927
61	322	4879
62	325	4840
63	327	4794
64	332	4783
65	335	4746
66	338	4719
67	341	4678
68	344	4642
69	346	4603
70	349	4572
71	354	4573
72	357	4535
73	359	4498
74	361	4460
75	364	4426
76	367	4400
77	369	4365
78	372	4338
79	377	4336
80	380	4320
81	383	4291
82	385	4261
83	388	4232
84	391	4212
85	393	4186
86	396	4161
87	399	4135
88	401	4108
89	403	4081
90	407	4066
91	410	4046
92	412	4021
93	414	3997
94	417	3972
95	420	3958
96	422	3936
97	425	3915
98	427	3892
99	430	3871
100	432	3848
101	434	3829
102	438	3819
103	441	3800
104	443	3777
105	445	3758
106	448	3747
107	451	3726
108	453	3708
109	456	3690
110	458	3673
111	461	3660
112	464	3642
113	466	3623
114	468	3608
115	470	3582
116	472	3566
117	474	3550
118	477	3532
119	479	3516
120	482	3502
121	484	3486
122	486	3470
123	488	3454
124	491	3437
125	493	3422
126	495	3406
127	497	3391
128	499	3375
129	502	3364
130	504	3348
131	507	3334
132	509	3320
133	511	3302
134	513	3288
135	515	3277
136	518	3263
137	520	3250
138	522	3236
139	524	3223
140	526	3210
141	529	3198
142	531	3185
143	533	3171
144	535	3159
145	537	3146
146	540	3134
147	542	3123
148	544	3111
149	547	3100
150	549	3088
151	551	3075
152	553	3064
153	555	3054
154	558	3043
155	561	3035
156	563	3025
