iter	MultiClass
0	1.695935342
1	1.621222225
2	1.5484752
3	1.493209809
4	1.436487323
5	1.383616352
6	1.336759643
7	1.293060897
8	1.254512896
9	1.221271893
10	1.191083269
11	1.160875161
12	1.131606864
13	1.099957634
14	1.074445123
15	1.051644994
16	1.031460441
17	1.008205073
18	0.9877785514
19	0.9677722205
20	0.948064973
21	0.933170218
22	0.9163417643
23	0.8996155769
24	0.8846820122
25	0.8691121357
26	0.8557281703
27	0.8425588334
28	0.8288462875
29	0.8191277695
30	0.8058738966
31	0.7949640277
32	0.785022754
33	0.772917176
34	0.7614641837
35	0.7520298277
36	0.7442351858
37	0.7370261016
38	0.7277980243
39	0.7198915987
40	0.7109056792
41	0.7034788433
42	0.6961807073
43	0.6896777566
44	0.6816409085
45	0.6750663033
46	0.6684626487
47	0.6610995981
48	0.656312037
49	0.6515465916
50	0.6453347654
51	0.6400203143
52	0.6339490449
53	0.6283130346
54	0.6220338786
55	0.6178511013
56	0.6126202311
57	0.608408648
58	0.6032017011
59	0.5994415981
60	0.5951717894
61	0.5898097765
62	0.5848309409
63	0.5802476011
64	0.5763834101
65	0.5714588839
66	0.5667895753
67	0.5625448767
68	0.5595785997
69	0.5549813726
70	0.5529216967
71	0.5492338611
72	0.5453956493
73	0.5416534952
74	0.5391464246
75	0.5357294516
76	0.5321126559
77	0.5294322912
78	0.5261765305
79	0.5221817719
80	0.5189780684
81	0.5148888098
82	0.5118207955
83	0.5091103309
84	0.5065014017
85	0.5032312452
86	0.5008494338
87	0.4982413064
88	0.4954659389
89	0.4924258228
90	0.4891597103
91	0.4851510945
92	0.4831858721
93	0.4806546276
94	0.4774985111
95	0.4750848446
96	0.4723647326
97	0.4697168809
98	0.4672515664
99	0.4644975174
100	0.461095214
101	0.4586760346
102	0.4569870956
103	0.4541680508
104	0.4526145475
105	0.4491014491
106	0.4460477471
107	0.4440341701
108	0.4421289858
109	0.4395172394
110	0.4379650801
111	0.4358802131
112	0.4338607207
113	0.4325070174
114	0.4299426017
115	0.4272823589
116	0.4255015845
117	0.4228141522
118	0.4204561946
119	0.4177925235
120	0.4158361149
121	0.4138384105
122	0.4115173074
123	0.4096272186
124	0.4063801303
125	0.4043492388
126	0.4016942994
127	0.3999002612
128	0.3978674675
129	0.3956399633
130	0.3944125638
131	0.3924599574
132	0.391608493
133	0.3892636347
134	0.386860999
135	0.3848120064
136	0.3829077426
137	0.3807004125
138	0.3787958689
139	0.3764267543
140	0.374788583
141	0.3723761185
142	0.3706994343
143	0.3691475703
144	0.3668314048
145	0.3641419195
146	0.3628006502
147	0.3615434045
148	0.3596332241
149	0.3576228765
150	0.355559579
151	0.3541000565
152	0.3522507718
153	0.3506897697
154	0.3490933841
155	0.3472486725
156	0.345871886
157	0.3444254231
158	0.343105963
159	0.3407782696
160	0.3390816487
161	0.3364151284
162	0.3343984929
163	0.3327113256
164	0.3312853597
165	0.3300482962
166	0.328912024
167	0.3275159743
168	0.3264124865
169	0.3250696491
170	0.3237459258
171	0.3218755123
172	0.3209242642
173	0.3197840358
174	0.3183816741
175	0.3167422065
176	0.3149152892
177	0.3133904027
178	0.311687044
179	0.3099554436
180	0.3083228363
181	0.3067342162
182	0.3050882444
183	0.3039170546
184	0.3025909747
185	0.3009814058
186	0.2993042658
187	0.2980462196
188	0.2962134497
189	0.2950030233
190	0.293728044
191	0.2926395975
192	0.2917040111
193	0.2900629145
194	0.2883795492
195	0.2876475449
196	0.2860900295
197	0.2844681942
198	0.2836779655
199	0.2827970821
200	0.2810696649
201	0.280310785
202	0.2794179003
203	0.2783318237
204	0.2772966126
205	0.2762351621
206	0.2746214547
207	0.2732705692
208	0.2716889201
209	0.2706674011
210	0.2697960089
211	0.2684771944
212	0.2673198511
213	0.2661965669
214	0.2648077345
215	0.2637464652
216	0.2626799426
217	0.2618022729
218	0.2606720403
219	0.2596633601
220	0.2584468786
221	0.2576023439
222	0.2566029734
223	0.2555485825
224	0.2547161831
225	0.2532508879
226	0.2523242245
227	0.2516789582
228	0.2504826073
229	0.2494360842
230	0.2483710172
231	0.2470614497
232	0.2457957091
233	0.2449844426
234	0.2439704749
235	0.2432785644
236	0.2424028651
237	0.2411906846
238	0.2401716037
239	0.2393984306
240	0.2383647221
241	0.2377543549
242	0.2363735383
243	0.2356218668
244	0.2348882809
245	0.234178008
246	0.2332173317
247	0.2325007815
248	0.2319417832
249	0.2307193906
250	0.2301250783
251	0.2295167361
252	0.2285702811
253	0.2278757762
254	0.2270042769
255	0.2258604592
256	0.224766178
257	0.2238670907
258	0.2231456496
259	0.2218983008
260	0.2212542447
261	0.2205557072
262	0.2196668466
263	0.2189323535
264	0.2183139348
265	0.2175397934
266	0.2166780021
267	0.2156969001
268	0.2150754007
269	0.2142620498
270	0.2133024061
271	0.2128322774
272	0.2124133675
273	0.2116394377
274	0.21084024
275	0.2101745033
276	0.2094995945
277	0.2087365437
278	0.2080889155
279	0.2073888409
280	0.2066609969
281	0.2055506488
282	0.20462051
283	0.2038952254
284	0.203074817
285	0.2023986461
286	0.2019210649
287	0.2012786324
288	0.2005873771
289	0.2000777763
290	0.1994539052
291	0.1982996688
292	0.197628223
293	0.1970698847
294	0.1961748747
295	0.1955414364
296	0.1944793854
297	0.1938239781
298	0.1928413192
299	0.1921127622
300	0.1913657182
301	0.1905461939
302	0.1896309504
303	0.1891130047
304	0.1887323922
305	0.1880245131
306	0.1874432807
307	0.1868825109
308	0.1863991596
309	0.186154195
310	0.1856610293
311	0.1848716309
312	0.1842849944
313	0.1838541344
314	0.1830699103
315	0.1826075
316	0.1820973832
317	0.1818248156
318	0.1811064036
319	0.1805938851
320	0.1797194152
321	0.1792916608
322	0.1786608821
323	0.1780358854
324	0.1774406395
325	0.177159498
326	0.1765911317
327	0.1759258689
328	0.175479031
329	0.1749424934
330	0.1743705874
331	0.1737914099
332	0.1731313266
333	0.1726910984
334	0.1720705683
335	0.1714252322
336	0.1710648852
337	0.1707423431
338	0.1705042977
339	0.169930695
340	0.1690623074
341	0.1686830517
342	0.1680617858
343	0.1676628226
344	0.1668507716
345	0.1664148371
346	0.1659463832
347	0.1655262281
348	0.1651937141
349	0.1649076819
350	0.1644058981
351	0.1640183535
352	0.1634467741
353	0.1630958446
354	0.1626155346
355	0.1620665758
356	0.1615965886
357	0.1609358109
358	0.1605875674
359	0.1599939796
360	0.1596191402
361	0.1589498622
362	0.1583916282
363	0.1580009544
364	0.1575081208
365	0.1571269541
366	0.1567308096
367	0.1562574351
368	0.1557660857
369	0.1552507854
370	0.1547841649
371	0.1543307718
372	0.1539279266
373	0.1536915052
374	0.1534838365
375	0.1531628553
376	0.1525353348
377	0.1523003005
378	0.1520490192
379	0.1515413749
380	0.1513055
381	0.1509070949
382	0.1503553636
383	0.1500042111
384	0.1497603413
385	0.149272969
386	0.1486641787
387	0.1481184656
388	0.1476077506
389	0.1472286832
390	0.1467498361
391	0.1462103503
392	0.1458110813
393	0.145362715
394	0.1450275764
395	0.1446169582
396	0.1443800343
397	0.1441388412
398	0.1438103282
399	0.1433741725
400	0.1430719716
401	0.1426361137
402	0.14233988
403	0.1419416339
404	0.1416488376
405	0.1412424433
406	0.1407855909
407	0.1405470163
408	0.1403335345
409	0.1399412882
410	0.1396554638
411	0.1393579493
412	0.1391004232
413	0.138760611
414	0.1383884237
415	0.1378502764
416	0.1376192048
417	0.1372702161
418	0.1369164451
419	0.1367268933
420	0.1363475345
421	0.1359238883
422	0.1354037818
423	0.1348904437
424	0.1343520398
425	0.1339353073
426	0.1335255284
427	0.1331817765
428	0.1327844139
429	0.1324272404
430	0.1321496958
431	0.131709007
432	0.1312054683
433	0.1307531389
434	0.130386261
435	0.1300143411
436	0.1298902822
437	0.1294445022
438	0.129176942
439	0.1289019649
440	0.1285510638
441	0.1280914134
442	0.1276276087
443	0.1272797545
444	0.126914251
445	0.1265577076
446	0.126329737
447	0.1259516082
448	0.1256207745
449	0.1251936424
450	0.1249598477
451	0.1245687397
452	0.1244373962
453	0.124028317
454	0.1236269599
455	0.1234340929
456	0.1232353521
457	0.1231029587
458	0.1228500885
459	0.1225759087
460	0.1221564335
461	0.1219066481
462	0.1216199414
463	0.1211292688
464	0.1207756312
465	0.1204462117
466	0.1201197124
467	0.1199170595
468	0.1196390916
469	0.1193933689
470	0.1191171202
471	0.1189270735
472	0.1186487989
473	0.1183134393
474	0.1180822083
475	0.117776579
476	0.1174748929
477	0.1173101286
478	0.117092876
479	0.1167932892
480	0.1162099172
481	0.115822634
482	0.1156857668
483	0.1154915669
484	0.1153135547
485	0.1150700172
486	0.114878719
487	0.1146114331
488	0.1142776273
489	0.1140456212
490	0.1139689513
491	0.1136449302
492	0.1132534166
493	0.1129558858
494	0.1126372676
495	0.1124415213
496	0.112205867
497	0.1119587541
498	0.111684229
499	0.1114248639
500	0.1112113642
501	0.110810729
502	0.1105492605
503	0.1102360995
504	0.1099968126
505	0.1097173433
506	0.1094329211
507	0.1091390108
508	0.1089436562
509	0.1086320791
510	0.1083460325
511	0.108170788
512	0.1077192398
513	0.1075623266
514	0.1072158629
515	0.1069634976
516	0.1067277299
517	0.1064540519
518	0.1060787639
519	0.1059343652
520	0.1056352498
521	0.1054420316
522	0.1051522273
523	0.1048459186
524	0.1046393433
525	0.104461866
526	0.1041476173
527	0.1038428146
528	0.1035458292
529	0.1033989875
530	0.103193464
531	0.1029842595
532	0.1028407184
533	0.1025754089
534	0.1023778049
535	0.1021766775
536	0.1020234319
537	0.1018377715
538	0.1017120236
539	0.1015532583
540	0.1013947091
541	0.1011817565
542	0.1009166952
543	0.1007504854
544	0.100392488
545	0.1001911331
546	0.09994547597
547	0.09972419019
548	0.09941610861
549	0.09927090055
550	0.09915724631
551	0.09904847754
552	0.0988139428
553	0.09870079557
554	0.09842151561
555	0.09821270556
556	0.09796569957
557	0.09784059142
558	0.09761484315
559	0.09738085432
560	0.0971243246
561	0.09688112011
562	0.09660697263
563	0.09637274851
564	0.09622495088
565	0.09601298864
566	0.09585238554
567	0.09563927446
568	0.09546295962
569	0.0952569044
570	0.09506291505
571	0.09496131761
572	0.09469531715
573	0.09456361721
574	0.09439052505
575	0.09413248437
576	0.09394860769
577	0.09369409083
578	0.09343792724
579	0.0932806765
580	0.09301531698
581	0.09283254588
582	0.09253156903
583	0.09235534785
584	0.09208898453
585	0.09193718247
586	0.09168190122
587	0.09136758432
588	0.09115145878
589	0.09096766772
590	0.09084097834
591	0.09073338257
592	0.09042134448
593	0.09019407973
594	0.09008524663
595	0.08987038351
596	0.08963063575
597	0.08949806095
598	0.08931289662
599	0.08911523793
600	0.08898572501
601	0.0888106694
602	0.08852776081
603	0.0883979602
604	0.08820237819
605	0.08796972554
606	0.08770987379
607	0.08759086072
608	0.08732541515
609	0.08711936808
610	0.08693246574
611	0.08669996003
612	0.08644046167
613	0.08630459072
614	0.08607525998
615	0.08589891354
616	0.08577341498
617	0.08563677171
618	0.08548439706
619	0.08530750753
620	0.08510815487
621	0.08493370269
622	0.08482940255
623	0.08465304596
624	0.08445940355
625	0.08436485297
626	0.08421824265
627	0.08410251796
628	0.08397106385
629	0.08382441306
630	0.08368371603
631	0.08349827347
632	0.08333832473
633	0.08327599692
634	0.08318095978
635	0.08310534485
636	0.08296059682
637	0.08275181545
638	0.08252356956
639	0.08241773918
640	0.08222420355
641	0.08204865188
642	0.08182357961
643	0.08165518156
644	0.08147660987
645	0.08133635147
646	0.08111346479
647	0.08100567882
648	0.08089946827
649	0.08083629455
650	0.08068674873
651	0.08048138911
652	0.0804108626
653	0.08023656066
654	0.08015712588
655	0.07998493097
656	0.07980791386
657	0.07960829499
658	0.07944386496
659	0.0791872089
660	0.07905680939
661	0.07890378216
662	0.07867005419
663	0.07853299544
664	0.07838245179
665	0.07818625004
666	0.07806894704
667	0.0779272197
668	0.07785105054
669	0.07776333565
670	0.07754027178
671	0.07741224901
672	0.07723124056
673	0.0769998445
674	0.07690432734
675	0.076740566
676	0.07663333265
677	0.07647363415
678	0.07629272777
679	0.07605746157
680	0.07586995433
681	0.07569953689
682	0.07551624011
683	0.07537954028
684	0.0752825367
685	0.07521298401
686	0.07508051625
687	0.07490380106
688	0.07466113493
689	0.07452255884
690	0.07442266858
691	0.07430655982
692	0.07420237514
693	0.0740499378
694	0.07385360636
695	0.0737152799
696	0.07355130729
697	0.07340467743
698	0.07321579255
699	0.07309185843
700	0.07292200648
701	0.07277674154
702	0.07260992231
703	0.07248468256
704	0.07230546316
705	0.07217461196
706	0.07200564782
707	0.07184545333
708	0.07172935997
709	0.07156242293
710	0.07146663184
711	0.07127209734
712	0.07120140787
713	0.07109945866
714	0.07101558335
715	0.07082591167
716	0.07064716722
717	0.07046448811
718	0.07027258877
719	0.07012544591
720	0.06996679795
721	0.06986993062
722	0.06968933444
723	0.06946004777
724	0.06925957211
725	0.06916061313
726	0.0690795231
727	0.06883213018
728	0.06867671445
729	0.06854667476
730	0.06842847918
731	0.06831600043
732	0.06817124152
733	0.06803409221
734	0.06787923518
735	0.06778701697
736	0.06761014542
737	0.06755083136
738	0.06741475984
739	0.06725918189
740	0.06708869602
741	0.06697505343
742	0.06689533071
743	0.06681434821
744	0.06665226896
745	0.06648637568
746	0.06641142487
747	0.06630971205
748	0.06620191725
749	0.06608287054
750	0.06592910085
751	0.06577607134
752	0.06560779109
753	0.06548590688
754	0.06541486764
755	0.06534470339
756	0.06523951257
757	0.06511834085
758	0.06505062472
759	0.06494109896
760	0.06483677241
761	0.06474000271
762	0.06465653182
763	0.06460257866
764	0.06450038425
765	0.06440530994
766	0.06427590547
767	0.06414227463
768	0.06401522188
769	0.06386987903
770	0.06378150705
771	0.06370892663
772	0.06357671674
773	0.06341043326
774	0.06331457115
775	0.06324326017
776	0.0630770925
777	0.06295495557
778	0.06285437718
779	0.0627625779
780	0.06260233542
781	0.0625231019
782	0.06239360905
783	0.06230714636
784	0.06220885918
785	0.0621004694
786	0.06197736876
787	0.06188019568
788	0.06176291851
789	0.06167663632
790	0.06153440785
791	0.06143000466
792	0.06130750749
793	0.06114206899
794	0.0610387318
795	0.06088735368
796	0.06082777801
797	0.06073648446
798	0.06064835657
799	0.06057881316
800	0.06048631962
801	0.06035676067
802	0.06027006211
803	0.06017204603
804	0.0600454612
805	0.05993649778
806	0.05981562049
807	0.05970618128
808	0.05953923919
809	0.05944205551
810	0.0593399296
811	0.05927037067
812	0.05918504214
813	0.05909060748
814	0.05898283578
815	0.05891516744
816	0.05876503088
817	0.05870302195
818	0.05854187958
819	0.05840710039
820	0.05825315269
821	0.05817721625
822	0.05808744043
823	0.05796949994
824	0.05781795695
825	0.0577714244
826	0.05770650892
827	0.0576087621
828	0.05749255658
829	0.05739059409
830	0.05728365343
831	0.05721098117
832	0.05717444358
833	0.05712175386
834	0.05698951773
835	0.05691160786
836	0.0568605051
837	0.05680333112
838	0.05670828794
839	0.05661951658
840	0.05653522453
841	0.05641137555
842	0.05629132684
843	0.05622640245
844	0.0561171919
845	0.05603423569
846	0.05594449941
847	0.05588077383
848	0.05581286911
849	0.05573112925
850	0.05568676915
851	0.05561369533
852	0.05547935442
853	0.05538912935
854	0.05530148397
855	0.05519723701
856	0.0551101496
857	0.05505669524
858	0.05492369003
859	0.05480892804
860	0.05469501788
861	0.05461470447
862	0.05454306488
863	0.05445712164
864	0.05438537221
865	0.05428402764
866	0.05419880279
867	0.05412021779
868	0.05404170817
869	0.05396446729
870	0.05387543956
871	0.0537872736
872	0.053671962
873	0.05360278573
874	0.05349915684
875	0.05339702009
876	0.05331576864
877	0.05325536537
878	0.05311012176
879	0.05301882333
880	0.05294598643
881	0.05281996488
882	0.05271779576
883	0.05261856546
884	0.05256141138
885	0.05250086517
886	0.05244903033
887	0.05234448133
888	0.0522465779
889	0.05216153693
890	0.05210808315
891	0.05203745317
892	0.05197277651
893	0.05188353415
894	0.05184217456
895	0.05178617977
896	0.05169765099
897	0.05159965673
898	0.05152141859
899	0.05146008629
900	0.05139892913
901	0.05133836887
902	0.051280947
903	0.05118724628
904	0.05108238337
905	0.05100677976
906	0.05093547757
907	0.05087088549
908	0.05079792565
909	0.05070328238
910	0.05061992602
911	0.05054875926
912	0.0504862797
913	0.05043158007
914	0.0503487565
915	0.0503126687
916	0.05025402964
917	0.05012254248
918	0.05000923188
919	0.04996142973
920	0.0498913131
921	0.04981844325
922	0.04970639565
923	0.04964408279
924	0.04958556813
925	0.04951187729
926	0.04942194597
927	0.04933792485
928	0.04927689836
929	0.04920210665
930	0.04917294804
931	0.0491141215
932	0.04907974989
933	0.0489989898
934	0.04891153246
935	0.0488442419
936	0.04876179665
937	0.0486591567
938	0.04861673278
939	0.04854062264
940	0.04845520796
941	0.04840218167
942	0.04833143308
943	0.0482421046
944	0.04813512875
945	0.0480729164
946	0.04798646353
947	0.04795158092
948	0.04785640384
949	0.04779543936
950	0.04772953997
951	0.04766907623
952	0.0475832704
953	0.04751386321
954	0.04747936413
955	0.04738709638
956	0.04732925588
957	0.04728917908
958	0.04720735756
959	0.04714668825
960	0.04707781792
961	0.04699146118
962	0.04692497744
963	0.04685993515
964	0.04678348353
965	0.04673061002
966	0.04666018438
967	0.04662546782
968	0.0465803955
969	0.04650378308
970	0.04645605382
971	0.04637453632
972	0.04631181997
973	0.04624053637
974	0.04620971587
975	0.04615684274
976	0.04608005405
977	0.04600588662
978	0.04596071774
979	0.0459045028
980	0.04585882003
981	0.04580554672
982	0.04574202698
983	0.0456402048
984	0.04559345282
985	0.04552325301
986	0.04547256882
987	0.04539906015
988	0.04532722588
989	0.04526645695
990	0.04515644272
991	0.04510936312
992	0.04507815415
993	0.0449931703
994	0.04493221914
995	0.04484913965
996	0.04481816712
997	0.04476307033
998	0.04471323483
999	0.0446437657
