iter	Passed	Remaining
0	43	43551
1	87	43454
2	129	43042
3	170	42393
4	213	42454
5	254	42242
6	297	42146
7	340	42224
8	381	42047
9	425	42143
10	468	42138
11	513	42313
12	558	42387
13	601	42375
14	644	42313
15	685	42154
16	727	42041
17	769	41954
18	810	41834
19	851	41727
20	894	41694
21	936	41642
22	978	41555
23	1022	41597
24	1067	41626
25	1112	41670
26	1155	41626
27	1196	41541
28	1240	41531
29	1284	41518
30	1326	41454
31	1369	41433
32	1411	41357
33	1453	41283
34	1495	41221
35	1537	41176
36	1582	41185
37	1625	41162
38	1670	41167
39	1714	41157
40	1758	41125
41	1801	41096
42	1842	41015
43	1885	40964
44	1928	40931
45	1970	40870
46	2013	40818
47	2055	40768
48	2097	40715
49	2140	40662
50	2181	40586
51	2222	40514
52	2263	40446
53	2304	40366
54	2346	40318
55	2387	40252
56	2429	40187
57	2470	40129
58	2513	40082
59	2554	40022
60	2597	39983
61	2638	39921
62	2680	39861
63	2722	39816
64	2764	39761
65	2805	39701
66	2845	39629
67	2886	39562
68	2927	39505
69	2968	39434
70	3008	39369
71	3049	39307
72	3090	39245
73	3132	39198
74	3173	39143
75	3214	39084
76	3255	39023
77	3296	38965
78	3337	38911
79	3378	38856
80	3419	38793
81	3460	38739
82	3500	38678
83	3542	38634
84	3582	38567
85	3624	38522
86	3666	38482
87	3709	38447
88	3751	38401
89	3792	38347
90	3833	38297
91	3874	38243
92	3916	38198
93	3959	38165
94	4001	38117
95	4042	38067
96	4084	38019
97	4124	37964
98	4168	37938
99	4209	37889
100	4253	37857
101	4295	37814
102	4335	37755
103	4376	37708
104	4418	37661
105	4462	37633
106	4506	37610
107	4550	37585
108	4594	37560
109	4637	37522
110	4681	37494
111	4722	37446
112	4762	37387
113	4804	37342
114	4846	37293
115	4887	37246
116	4929	37205
117	4972	37165
118	5013	37113
119	5055	37076
120	5100	37049
121	5144	37022
122	5190	37010
123	5235	36984
124	5277	36943
125	5322	36918
126	5366	36888
127	5409	36850
128	5452	36813
129	5495	36774
130	5535	36723
131	5578	36681
132	5619	36632
133	5661	36588
134	5705	36555
135	5746	36506
136	5787	36458
137	5831	36423
138	5874	36386
139	5917	36353
140	5960	36313
141	6003	36272
142	6044	36223
143	6087	36186
144	6128	36135
145	6171	36098
146	6212	36051
147	6255	36011
148	6299	35978
149	6342	35941
150	6385	35901
151	6426	35851
152	6467	35805
153	6509	35758
154	6550	35709
155	6591	35659
156	6637	35642
157	6682	35614
158	6724	35568
159	6767	35529
160	6810	35488
161	6853	35453
162	6895	35405
163	6936	35359
164	6977	35311
165	7019	35265
166	7064	35235
167	7105	35186
168	7147	35147
169	7189	35101
170	7231	35056
171	7272	35011
172	7314	34963
173	7355	34915
174	7398	34877
175	7440	34834
176	7482	34789
177	7524	34747
178	7569	34716
179	7613	34685
180	7660	34663
181	7702	34618
182	7744	34573
183	7785	34526
184	7826	34478
185	7867	34432
186	7910	34389
187	7953	34353
188	7996	34312
189	8037	34266
190	8078	34217
191	8181	34432
192	8234	34430
193	8278	34394
194	8320	34349
195	8362	34302
196	8403	34255
197	8446	34214
198	8492	34181
199	8536	34147
200	8580	34109
201	8622	34062
202	8668	34031
203	8711	33991
204	8754	33950
205	8798	33911
206	8840	33868
207	8884	33827
208	8926	33784
209	8972	33751
210	9014	33707
211	9067	33702
212	9117	33687
213	9161	33651
214	9207	33619
215	9251	33578
216	9293	33534
217	9335	33486
218	9377	33441
219	9418	33394
220	9461	33351
221	9504	33307
222	9544	33257
223	9585	33208
224	9626	33159
225	9669	33114
226	9711	33069
227	9752	33020
228	9793	32971
229	9833	32922
230	9875	32876
231	9918	32833
232	9961	32790
233	10004	32748
234	10045	32700
235	10086	32652
236	10128	32608
237	10170	32561
238	10211	32514
239	10252	32466
240	10294	32421
241	10336	32376
242	10379	32333
243	10421	32290
244	10463	32245
245	10506	32201
246	10549	32160
247	10591	32117
248	10632	32069
249	10675	32027
250	10721	31992
251	10765	31955
252	10811	31921
253	10854	31879
254	10897	31837
255	10939	31791
256	10981	31747
257	11022	31700
258	11064	31654
259	11106	31610
260	11148	31565
261	11189	31517
262	11230	31469
263	11270	31421
264	11311	31372
265	11352	31324
266	11392	31276
267	11434	31231
268	11476	31185
269	11518	31143
270	11561	31100
271	11603	31057
272	11645	31012
273	11687	30968
274	11732	30930
275	11775	30889
276	11817	30844
277	11858	30797
278	11899	30749
279	11939	30701
280	11981	30658
281	12025	30617
282	12068	30575
283	12112	30537
284	12158	30502
285	12200	30458
286	12243	30415
287	12287	30376
288	12330	30335
289	12375	30297
290	12418	30256
291	12460	30213
292	12502	30168
293	12544	30123
294	12585	30077
295	12627	30032
296	12668	29986
297	12708	29938
298	12751	29896
299	12795	29856
300	12838	29815
301	12879	29768
302	12921	29723
303	12963	29679
304	13004	29634
305	13045	29587
306	13086	29540
307	13127	29493
308	13169	29449
309	13211	29406
310	13252	29360
311	13293	29314
312	13335	29270
313	13378	29228
314	13420	29184
315	13460	29136
316	13502	29093
317	13544	29048
318	13585	29002
319	13627	28957
320	13668	28913
321	13709	28867
322	13750	28819
323	13791	28774
324	13832	28728
325	13874	28686
326	13917	28643
327	13960	28601
328	14001	28557
329	14043	28511
330	14083	28465
331	14126	28423
332	14169	28381
333	14211	28336
334	14254	28296
335	14297	28254
336	14338	28209
337	14381	28166
338	14424	28126
339	14467	28084
340	14508	28039
341	14550	27995
342	14593	27953
343	14637	27912
344	14679	27869
345	14723	27829
346	14764	27784
347	14805	27739
348	14846	27692
349	14889	27651
350	14932	27609
351	14974	27566
352	15017	27525
353	15060	27484
354	15102	27440
355	15143	27394
356	15185	27350
357	15228	27308
358	15271	27266
359	15316	27228
360	15359	27187
361	15402	27146
362	15443	27100
363	15485	27056
364	15528	27015
365	15574	26979
366	15618	26938
367	15663	26900
368	15705	26856
369	15747	26813
370	15790	26770
371	15832	26727
372	15874	26685
373	15916	26640
374	15957	26595
375	15999	26551
376	16040	26507
377	16081	26461
378	16121	26415
379	16163	26371
380	16206	26329
381	16249	26288
382	16291	26244
383	16332	26199
384	16374	26156
385	16416	26113
386	16457	26068
387	16500	26026
388	16544	25985
389	16587	25944
390	16633	25906
391	16674	25863
392	16716	25819
393	16758	25775
394	16805	25739
395	16879	25745
396	16975	25784
397	17025	25752
398	17070	25712
399	17118	25677
400	17160	25634
401	17202	25589
402	17243	25543
403	17285	25500
404	17327	25455
405	17368	25411
406	17409	25366
407	17451	25321
408	17492	25275
409	17532	25229
410	17580	25193
411	17670	25218
412	17719	25184
413	17760	25139
414	17802	25095
415	17846	25053
416	17887	25007
417	17927	24961
418	17968	24915
419	18009	24869
420	18051	24825
421	18093	24782
422	18136	24739
423	18178	24695
424	18220	24650
425	18262	24607
426	18307	24567
427	18353	24528
428	18396	24485
429	18437	24441
430	18479	24396
431	18521	24351
432	18563	24308
433	18605	24264
434	18647	24219
435	18688	24175
436	18731	24131
437	18773	24088
438	18814	24042
439	18854	23996
440	18896	23952
441	18940	23911
442	18985	23870
443	19027	23826
444	19070	23784
445	19111	23739
446	19155	23697
447	19198	23655
448	19241	23612
449	19284	23569
450	19328	23528
451	19370	23484
452	19412	23440
453	19455	23397
454	19497	23353
455	19537	23308
456	19578	23262
457	19620	23218
458	19661	23174
459	19702	23128
460	19744	23084
461	19785	23039
462	19826	22995
463	19868	22951
464	19912	22910
465	19954	22866
466	19997	22824
467	20044	22785
468	20091	22747
469	20135	22706
470	20186	22672
471	20239	22640
472	20291	22608
473	20356	22589
474	20410	22558
475	20461	22524
476	20508	22485
477	20549	22440
478	20590	22396
479	20632	22351
480	20674	22307
481	20715	22262
482	20757	22218
483	20798	22173
484	20842	22131
485	20887	22091
486	20930	22047
487	20977	22009
488	21021	21967
489	21062	21922
490	21105	21879
491	21147	21834
492	21188	21789
493	21230	21746
494	21272	21702
495	21314	21658
496	21355	21613
497	21397	21568
498	21439	21525
499	21480	21480
500	21521	21435
501	21563	21391
502	21605	21347
503	21647	21303
504	21687	21258
505	21729	21214
506	21771	21170
507	21813	21126
508	21854	21081
509	21898	21039
510	21941	20996
511	21985	20955
512	22030	20914
513	22073	20871
514	22116	20827
515	22157	20782
516	22200	20740
517	22242	20697
518	22285	20654
519	22327	20610
520	22370	20566
521	22413	20524
522	22456	20481
523	22500	20439
524	22543	20396
525	22587	20354
526	22630	20311
527	22673	20268
528	22716	20226
529	22760	20183
530	22802	20140
531	22845	20097
532	22890	20056
533	22936	20015
534	22983	19976
535	23025	19932
536	23066	19888
537	23108	19843
538	23149	19799
539	23191	19755
540	23232	19711
541	23273	19666
542	23316	19623
543	23359	19581
544	23404	19539
545	23446	19495
546	23488	19451
547	23531	19409
548	23574	19366
549	23617	19323
550	23660	19280
551	23703	19237
552	23744	19193
553	23785	19148
554	23826	19103
555	23868	19060
556	23910	19017
557	23953	18973
558	23993	18928
559	24035	18885
560	24078	18841
561	24121	18799
562	24163	18755
563	24205	18711
564	24247	18668
565	24290	18625
566	24332	18581
567	24373	18537
568	24414	18493
569	24456	18449
570	24497	18405
571	24539	18361
572	24584	18320
573	24627	18277
574	24669	18233
575	24713	18191
576	24755	18148
577	24797	18104
578	24839	18060
579	24880	18017
580	24923	17973
581	24964	17930
582	25005	17885
583	25046	17841
584	25088	17797
585	25130	17754
586	25172	17711
587	25214	17667
588	25255	17623
589	25296	17578
590	25339	17536
591	25384	17494
592	25428	17452
593	25470	17409
594	25511	17365
595	25552	17320
596	25596	17278
597	25638	17235
598	25681	17192
599	25723	17149
600	25765	17105
601	25808	17062
602	25851	17020
603	25894	16977
604	25939	16935
605	25981	16892
606	26025	16849
